股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
7610,聯友金屬-創,其他,2035.0,0.24630541871921183,99,2170.0,1892.55,22.916666666666664,5,1.4601514779872127,1023758,2026-09-10,100
2408,南亞科,電子,515.0,-1.5296367112810707,99,569.0,478.95,9.490333919156415,8,0.9433714717200885,38048242,2026-09-10,99
3026,禾伸堂,電子,803.0,5.936675461741425,99,826.0,746.79,23.157894736842106,3,1.201994720804051,13721525,2026-09-10,99
3189,景碩,電子,827.0,1.8472906403940887,99,960.0,769.11,13.854166666666668,6,1.456888085582847,13652144,2026-09-10,98
1303,南亞,傳產,244.0,3.171247357293869,99,250.0,226.92,2.4,5,1.1050001519263613,59326788,2026-09-10,97
2426,鼎元,電子,96.1,-3.417086960682318,99,111.0,89.37,13.423424798089103,2,2.0280569798590657,27117049,2026-09-10,97
8039,台虹,其他,275.0,-5.008635578583765,99,364.0,255.75,24.45054945054945,5,1.136579171141905,23437759,2026-09-10,96
6226,光鼎,電子,32.6,9.949406049054948,99,36.6,30.32,10.928962204269752,7,1.0175744049858246,15209719,2026-09-10,95
6213,聯茂,電子,519.0,-0.7648183556405354,99,599.0,482.67,13.35559265442404,6,0.7465917077514063,6904489,2026-09-10,94
6225,天瀚,電子,74.3,9.911249598920689,99,78.2,69.1,4.987204665833482,8,0.9995519344286214,192390,2026-09-10,94
6141,柏承,電子,55.4,9.702973318572091,99,59.9,51.52,7.512520676741288,4,1.343200903550126,5113900,2026-09-10,92
2059,川湖,傳產,12600.0,1.6129032258064515,99,15031.98,11718.0,16.17870197090173,8,0.9303808369061211,283031,2026-09-10,89
2305,全友,電子,38.5,10.0,99,38.5,35.8,9.730366652767396,4,1.5258772473791302,17659666,2026-09-10,87
2454,聯發科,半導體,4720.0,2.054054054054054,99,4855.0,4389.6,4.462743058140113,6,1.042708540585083,6645106,2026-09-10,87
6446,藥華藥,其他,1320.0,-1.858736059479554,99,1645.0,1227.6,19.756838905775076,3,1.257076339905568,2740284,2026-09-10,86
3008,大立光,電子,6720.0,-2.1834061135371177,99,7995.0,6249.6,15.947467166979362,8,1.0317571417009626,1752071,2026-09-10,85
6672,騰輝電子-KY,其他,299.0,-0.1669449081803005,99,317.5,278.07,9.393939393939393,7,1.2606628789370833,3566857,2026-09-10,83
2464,盟立,電子,193.5,-2.0253164556962027,99,224.0,179.96,13.616071428571427,7,1.554674918500458,14805805,2026-09-10,81
2395,研華,電子,659.0,0.9188361408882083,99,727.0,612.87,9.353507565337003,8,0.7921690181419746,1507559,2026-09-10,69
2466,冠西電,電子,101.5,-1.932367149758454,94,111.0,94.4,19.76284584980237,6,0.640233466837452,694752,2026-09-10,45
2383,台光電,電子,5375.0,0.0,91,6440.59,4998.75,16.544923990742515,8,0.7428472079084697,1299905,2026-09-10,92
3229,晟鈦,電子,61.4,1.1532137630002148,90,65.8,57.1,6.686932100015095,4,1.65461107652914,7750783,2026-09-10,91
2887,台新新光金,金融,42.15,-0.5896226202902661,90,43.05,39.2,2.0905870548932732,6,1.1230025071242524,38477464,2026-09-10,82
2883,凱基金,金融,37.2,1.22449187194409,90,37.6,34.6,1.0638237431231454,6,1.0552599896857304,39589271,2026-09-10,80
1709,和益,傳產,35.3,-0.8426945222445079,90,37.55,32.83,5.9920107742088256,3,1.5377506708452564,17901585,2026-09-10,76
3037,欣興,電子,994.0,0.10070493454179255,88,1230.0,924.42,19.1869918699187,5,1.1946426964347594,18901157,2026-09-10,97
3055,蔚華科,電子,160.0,7.023411371237458,86,164.0,148.8,20.398009950248756,1,2.054164137536595,8962113,2026-09-10,84
2351,順德,電子,235.5,-0.8421052631578947,85,248.0,219.02,5.040322580645161,2,1.2147260550033305,10245567,2026-09-10,85
3443,創意,半導體,6225.0,5.063291139240507,83,6490.0,5789.25,4.083204930662557,6,0.8381673363652423,1825382,2026-09-10,95
2303,聯電,電子,142.5,0.7067137809187279,83,145.5,132.52,21.86588505945035,3,1.3708383650060194,203796090,2026-09-10,88
3711,日月光投控,電子,650.0,1.5625,80,653.0,604.5,10.02178046413018,5,0.9491279618487932,17413144,2026-09-10,91
2455,全新,電子,532.0,-0.18761726078799248,80,555.0,494.76,4.1441441441441444,6,1.521234286544199,1562965,2026-09-10,88
2409,友達,電子,31.2,2.2950844686539447,80,32.2,29.02,7.875838705476768,4,1.4521300717972796,496068480,2026-09-10,81
3006,晶豪科,電子,312.0,1.794453507340946,79,319.0,290.16,2.19435736677116,2,1.6028307681253442,26080707,2026-09-10,96
3605,宏致,電子,128.0,-1.1583011583011582,78,141.0,119.04,9.219858156028367,5,1.4361702048010536,9735283,2026-09-10,59
3167,大量,電子,848.0,-5.777777777777778,74,971.0,788.64,16.0474579142356,3,1.5305659273336605,4550133,2026-09-10,93
7788,松川精密,其他,308.0,-3.9001560062402496,74,347.0,286.44,11.239193083573488,3,1.8331720605404038,6135205,2026-09-10,73
2357,華碩,電子,989.0,1.0214504596527068,73,1030.0,919.77,3.9805825242718447,5,0.9269289598585958,2476420,2026-09-10,57
1326,台化,傳產,71.3,-0.6963788004849659,72,78.2,66.31,8.823521951095774,4,1.0370790020848129,22234215,2026-09-10,80
2885,元大金,金融,69.7,0.0,72,70.9,64.82,1.692531102694984,9,0.8349239339502345,13248867,2026-09-10,75
6196,帆宣,電子,535.0,0.18726591760299627,72,538.0,497.55,11.86161449752883,5,1.107467757373992,1445586,2026-09-10,71
3017,奇鋐,AI/伺服器,3460.0,2.366863905325444,68,3595.0,3217.8,3.7552155771905427,5,0.8574108430812799,2568451,2026-09-10,88
2855,統一證,金融,51.7,-0.7677499479780713,65,52.3,48.08,9.888706188497013,3,1.0209570654427638,3899328,2026-09-10,78
5434,崇越,其他,527.0,-1.4953271028037385,65,567.0,490.11,12.458471760797343,9,0.4972773302793791,359530,2026-09-10,68
3450,聯鈞,電子,523.0,0.576923076923077,64,653.0,486.39,19.90811638591118,5,0.9221056959263846,2531831,2026-09-10,82
2881,富邦金,金融,148.5,1.0204081632653061,63,155.5,138.11,4.501607717041801,6,0.8743734942306013,12232372,2026-09-10,68
6214,精誠,電子,187.5,0.0,63,188.5,174.38,0.5305039787798408,8,0.5424470418549567,1647784,2026-09-10,57
1560,中砂,傳產,733.0,0.410958904109589,62,749.0,681.69,6.59305935030605,6,0.852686662702428,452922,2026-09-10,76
2851,中再保,金融,45.65,0.3296736832503434,62,48.5,42.45,5.87628551365174,8,0.9651897109135026,1781841,2026-09-10,72
2344,華邦電,電子,179.5,-1.912568306010929,61,192.0,166.94,23.126338329764454,8,1.099835659205144,67626233,2026-09-10,98
2301,光寶科,電子,291.0,-0.5128205128205128,61,328.0,270.63,11.28048780487805,7,0.9779971110910216,19882807,2026-09-10,70
2377,微星,電子,149.0,-4.792332268370607,61,166.1,138.57,11.58631406301955,6,0.8328252469595937,14839003,2026-09-10,35
3406,玉晶光,電子,1070.0,-3.6036036036036037,60,1125.0,995.1,4.888888888888889,5,1.8431447543301738,9534395,2026-09-10,80
6505,台塑化,其他,86.2,-1.4857177734375,59,87.5,80.17,11.950974867496745,4,0.6944950602582323,43052352,2026-09-10,77
2890,永豐金,金融,42.9,-0.6944426661165968,59,44.1,39.9,2.7210816094389974,4,0.9051753368450893,21543349,2026-09-10,67
0056,元大高股息,傳產,55.7,-0.0896847301534473,59,56.1,51.8,0.7130084172215431,7,0.5801121773507512,14425454,2026-09-10,64
6426,統新,其他,322.0,0.3115264797507788,58,328.0,299.46,1.8292682926829267,2,2.1148989956030184,4969410,2026-09-10,93
2527,宏璟,其他,44.35,0.7954510775479403,58,45.8,41.25,11.72942689917707,8,0.47253701567239526,474633,2026-09-10,67
2103,台橡,傳產,25.85,-2.452828749170843,58,29.45,24.04,12.224109637375793,9,0.6865150281862966,3921947,2026-09-10,56
0057,富邦摩台,傳產,324.85,-0.9150525984900478,56,330.85,302.11,1.813510620919479,8,0.8660568319958267,8551,2026-09-10,71
0055,元大MSCI金融,傳產,48.61,-1.2794497291634759,56,49.37,45.21,1.5393930281055186,3,1.4697311279102108,518819,2026-09-10,62
7795,長廣,其他,534.0,-2.5547445255474455,55,610.0,496.62,19.81981981981982,6,1.3104677407521017,2589111,2026-09-10,82
0050,元大台灣50,傳產,109.15,-0.45599634568358227,55,110.75,101.51,2.2135405303069025,7,0.5910100008218208,44782691,2026-09-10,72
2467,志聖,電子,575.0,-1.0327022375215147,54,643.0,534.75,16.118889556370323,4,0.842035620157796,609555,2026-09-10,84
5515,建國,其他,50.0,-4.580155450365039,54,56.4,46.5,11.347520128952997,9,0.6135380305784616,994824,2026-09-10,77
0053,元大電子,傳產,246.0,0.0,54,249.15,228.78,3.3398821218074657,6,1.1764739895728007,135182,2026-09-10,74
2882,國泰金,金融,110.5,0.0,54,117.0,102.76,5.555555555555555,5,1.141529650647009,13694151,2026-09-10,66
6933,AMAX-KY,其他,336.0,-0.591715976331361,54,354.0,312.48,5.084745762711865,6,1.8632578285949644,508791,2026-09-10,65
