股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
2408,南亞科,電子,517.0,1.3725490196078431,99,553.0,480.81,6.50994575045208,6,0.885275838232754,58731409,2026-08-26,100
3037,欣興,電子,1160.0,5.93607305936073,99,1200.0,1078.8,3.3333333333333335,6,0.8442720472546701,22498278,2026-08-26,99
3189,景碩,電子,881.0,5.508982035928144,99,937.0,819.33,6.016166910313679,5,1.03657588725234,23217382,2026-08-26,98
8039,台虹,其他,320.5,9.948542024013722,99,320.5,298.06,0.0,3,1.8034328747344386,45620862,2026-08-26,98
2059,川湖,傳產,14510.0,1.575078753937697,99,15085.0,13494.3,3.8117335101093803,8,0.9758282875265264,501249,2026-08-26,97
2426,鼎元,電子,99.8,9.911893939992293,99,99.8,92.81,0.0,3,1.7244345140800927,82110422,2026-08-26,97
8046,南電,其他,1180.0,1.7241379310344827,99,1380.0,1097.4,16.607773851590103,5,0.8958343022004229,14173714,2026-08-26,97
6213,聯茂,電子,583.0,10.0,99,583.0,542.19,0.0,7,0.6426515871529301,29732262,2026-08-26,96
1303,南亞,傳產,207.0,9.814323607427056,99,215.0,192.51,10.0,5,1.0201273543140497,102896615,2026-08-26,95
2383,台光電,電子,5895.0,5.361930294906166,99,6470.0,5482.35,8.887171561051005,6,0.9959181079860241,1869810,2026-08-26,95
6141,柏承,電子,50.4,9.923671108355544,99,50.4,46.87,0.0,5,1.9027086113484135,7137251,2026-08-26,93
6226,光鼎,電子,28.15,9.960934371338274,99,28.15,26.18,2.7633890270334875,5,1.622295463398579,7675056,2026-08-26,93
6446,藥華藥,其他,1585.0,6.375838926174497,99,1600.0,1474.05,0.9375,5,1.068007097864059,3961508,2026-08-26,93
6949,沛爾生醫-創,其他,1490.0,9.96309963099631,99,1490.0,1385.7,0.0,2,1.3119389654636047,561051,2026-08-26,92
2484,希華,電子,76.7,-3.2786960951548054,99,81.0,71.33,24.109498516847346,6,0.5785646891864403,35861550,2026-08-26,91
2491,吉祥全,電子,46.65,9.635728231100192,99,46.8,43.38,0.8501545540229651,3,2.0299086621863323,5822245,2026-08-26,89
2454,聯發科,半導體,3945.0,5.622489959839357,99,4400.0,3668.85,20.14947486533109,7,0.8709804535995195,8299924,2026-08-26,87
6672,騰輝電子-KY,其他,276.5,2.2181146025878005,99,295.0,257.15,16.21212121212121,3,1.1015060473172673,3219976,2026-08-26,87
2302,麗正,電子,44.9,7.932699934618287,99,47.85,41.76,22.71944456955835,4,0.7603186914264509,6060494,2026-08-26,86
2464,盟立,電子,192.0,-0.5181347150259068,99,208.0,178.56,7.6923076923076925,4,1.0368714995128867,10371017,2026-08-26,85
3008,大立光,電子,6290.0,9.965034965034965,99,6290.0,5849.7,0.0,6,1.108542071537676,1995217,2026-08-26,85
2395,研華,電子,688.0,2.6865671641791042,99,709.0,639.84,2.9619181946403383,5,0.8483033948491858,2324310,2026-08-26,80
3229,晟鈦,電子,58.1,1.2195068460522471,96,62.5,54.03,7.04000244140625,1,2.4652131547867246,5659499,2026-08-26,92
2351,順德,電子,219.0,9.774436090225564,92,219.0,203.67,5.386595080928376,6,0.8144424410934976,5727994,2026-08-26,84
3443,創意,半導體,6125.0,9.964093357271095,91,6125.0,5696.25,0.0,1,1.1453622962386796,2292229,2026-08-26,94
2883,凱基金,金融,32.25,1.7350133243641819,90,33.1,29.99,2.567971339290715,5,0.7790825828349593,63606905,2026-08-26,79
2887,台新新光金,金融,37.5,0.942122368090033,88,38.0,34.88,1.3157894736842104,5,0.8752692787575116,47965438,2026-08-26,83
2344,華邦電,電子,181.5,1.3966480446927374,87,193.0,168.8,22.269807280513916,6,0.8974548740911978,85543492,2026-08-26,99
3450,聯鈞,電子,574.0,7.6923076923076925,87,600.0,533.82,6.209150326797386,3,1.2820374619484707,17143782,2026-08-26,86
2466,冠西電,電子,105.0,1.9417475728155338,81,109.0,97.65,16.99604743083004,3,1.0653851790219342,2210053,2026-08-26,59
1709,和益,傳產,37.1,9.92592140480324,80,37.1,34.5,0.0,3,2.1497643797664305,19562185,2026-08-26,79
7788,松川精密,其他,273.5,5.802707930367505,80,283.5,254.36,9.689325110506413,3,0.9566103332667985,1459055,2026-08-26,77
3006,晶豪科,電子,273.5,1.2962962962962963,79,285.5,254.36,4.203152364273205,5,0.8860690101346831,12141531,2026-08-26,96
2455,全新,電子,428.0,2.026221692491061,76,437.5,398.04,6.324648988249058,6,1.3505994162626689,3489126,2026-08-26,86
5434,崇越,其他,536.0,2.8790786948176583,71,567.0,498.48,10.96345514950166,8,0.5615149054649511,520166,2026-08-26,75
7795,長廣,其他,580.0,5.263157894736842,69,610.0,539.4,12.912912912912914,5,1.3839169084669942,1297001,2026-08-26,90
1727,中華化,傳產,94.4,3.395397996168423,69,96.5,87.79,15.570365270517911,2,1.467859626673025,6353847,2026-08-26,81
2467,志聖,電子,570.0,6.5420560747663545,68,616.0,530.1,16.848290516749714,6,0.7954807567800808,1131954,2026-08-26,88
2855,統一證,金融,47.4,2.597404205893575,68,48.5,44.08,17.383454523544643,9,0.5496979420701426,3260188,2026-08-26,82
2486,一詮,電子,262.5,1.744186046511628,66,267.5,244.12,17.30072096079362,4,1.3231133823314143,17523004,2026-08-26,90
5471,松翰,其他,60.6,8.214282989501953,66,61.0,56.36,11.208186811280102,6,0.7772565699441722,7705243,2026-08-26,73
6225,天瀚,電子,68.5,3.6308647220597656,65,78.2,63.71,12.404088653177663,5,3.1779406653117834,150508,2026-08-26,95
7750,新代,其他,2370.0,0.851063829787234,65,2565.0,2204.1,22.80130293159609,3,1.7756840140983883,1083151,2026-08-26,84
2881,富邦金,金融,138.5,-2.1201413427561837,64,143.5,128.8,3.484320557491289,6,0.877311110267326,28673875,2026-08-26,71
2103,台橡,傳產,28.2,0.3558732388333733,62,28.95,26.23,2.590673506855716,5,0.8233128321627889,2984910,2026-08-26,69
1563,巧新,傳產,66.0,1.3824908555668858,62,67.3,61.38,7.07776249404799,4,0.6758791494669901,3211470,2026-08-26,54
0056,元大高股息,傳產,53.25,1.8164450799193674,61,54.0,49.52,1.3888888888888888,7,0.5681180752674363,30972915,2026-08-26,71
3017,奇鋐,AI/伺服器,3155.0,6.9491525423728815,60,3300.42,2934.15,4.406130381917601,7,1.0503332950780278,5226432,2026-08-26,88
2301,光寶科,電子,307.0,3.7162162162162162,60,312.5,285.51,1.76,3,1.3078233435182154,51209992,2026-08-26,84
0053,元大電子,傳產,241.15,0.5001029229023203,60,245.0,224.27,5.2455819660179275,6,1.4414133029324883,34068,2026-08-26,80
