股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
3189,景碩,電子,805.0,-1.8292682926829267,99,960.0,748.65,16.145833333333336,6,0.8794173195236038,15592442,2026-09-17,100
1303,南亞,傳產,236.0,5.357142857142857,99,250.0,219.48,5.6000000000000005,6,0.6658757138842786,92701241,2026-09-17,99
2426,鼎元,電子,96.0,-3.807618171902332,99,111.0,89.28,13.513513513513514,4,1.5086783558871963,61941043,2026-09-17,98
6226,光鼎,電子,43.85,9.899741346326122,99,43.85,40.78,0.0,7,1.3473353158037753,23014116,2026-09-17,98
2305,全友,電子,54.3,9.919023400464281,99,54.3,50.5,0.0,3,2.73507483822021,6926929,2026-09-17,96
3532,台勝科,電子,441.5,0.3409090909090909,99,474.0,410.6,20.018115942028984,6,0.941116545368936,9506270,2026-09-17,96
6213,聯茂,電子,495.0,-10.0,99,599.0,460.35,17.362270450751254,7,0.9013613538976166,37321312,2026-09-17,95
6141,柏承,電子,49.5,-0.8016062397742799,99,59.9,46.04,17.362272555845827,8,0.815492799655882,1466222,2026-09-17,93
2059,川湖,傳產,12295.0,2.0755500207555,99,14815.0,11434.35,18.207709581923552,7,0.7914595915104906,453605,2026-09-17,92
6225,天瀚,電子,60.2,-0.3311270825941305,99,80.0,55.99,24.749999046325684,6,1.0980896855835731,173165,2026-09-17,91
1709,和益,傳產,42.95,9.9872000053142,99,42.95,39.94,0.0,5,1.3171639379064097,34999576,2026-09-17,86
3008,大立光,電子,6020.0,-3.2931726907630523,99,7995.0,5598.6,24.702939337085677,7,0.8558973995804549,2137898,2026-09-17,85
2395,研華,電子,686.0,-1.2949640287769784,99,727.0,637.98,5.639614855570839,7,0.8202485841953616,2852184,2026-09-17,78
6672,騰輝電子-KY,其他,293.5,-3.453947368421053,97,317.5,272.96,11.06060606060606,6,1.5434965971398638,10153345,2026-09-17,87
2408,南亞科,電子,488.0,-0.9137055837563453,95,569.0,453.84,14.235500878734623,7,0.6099157176403108,44739038,2026-09-17,99
2464,盟立,電子,179.5,-1.912568306010929,94,224.0,166.94,19.866071428571427,9,1.1736538938409538,7921499,2026-09-17,82
