股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
2059,川湖,傳產,8635.0,10.0,99,8900.0,8030.55,2.9775280898876404,3,0.9622958289993859,613217,2026-08-03,98
6446,藥華藥,其他,1165.0,9.90566037735849,99,1413.81,1083.45,17.598320545459604,8,0.7387744243999012,975854,2026-08-03,96
3229,晟鈦,電子,47.45,9.965235422950455,99,47.45,44.13,12.775736338230123,4,1.1015984755173138,1984009,2026-08-03,95
4807,日成-KY,其他,39.0,4.697986577181208,99,44.65,36.27,15.032682563177286,9,0.4070335836865906,114093,2026-08-03,94
2883,凱基金,金融,30.4,-1.4586734436792723,86,31.3,28.27,2.875398212357255,6,0.4969032588983159,58440476,2026-08-03,91
2395,研華,電子,576.0,2.3090586145648313,85,618.0,535.68,6.796116504854369,2,1.339826585114101,4385353,2026-08-03,87
2885,元大金,金融,68.0,-0.14684064076608536,81,70.23,63.24,3.176669486085052,4,1.0739676948688783,30306628,2026-08-03,92
2887,台新新光金,金融,35.3,-1.8080709654643101,75,36.3,32.83,2.76090424943962,7,0.6066259074380888,48559165,2026-08-03,93
6949,沛爾生醫-創,其他,844.0,6.030150753768844,73,1120.0,784.92,24.642857142857146,7,0.7550326881998835,160894,2026-08-03,99
3702,大聯大,電子,116.0,3.111111111111111,71,123.0,107.88,9.019607843137255,7,0.8055230000392066,6922474,2026-08-03,84
8271,宇瞻,其他,219.5,-1.5695067264573992,68,229.0,204.14,17.1078462680067,1,1.978717860823263,8982092,2026-08-03,100
5434,崇越,其他,506.0,1.2,66,602.0,470.58,15.946843853820598,6,0.789610534390793,992198,2026-08-03,88
2425,承啟,電子,48.3,2.8753960642887386,61,49.65,44.92,2.7190377589710693,5,1.7095118170259673,10073754,2026-08-03,68
2881,富邦金,金融,129.5,-0.38461538461538464,60,131.0,120.44,5.039567969892281,7,0.5014404276685828,22072221,2026-08-03,82
2377,微星,電子,143.0,0.7042253521126761,60,158.0,132.99,9.49367088607595,8,0.7233466749992747,12117197,2026-08-03,4
2347,聯強,電子,91.7,-2.1344717877683133,57,94.7,85.28,3.1678987293311476,9,0.5695974162862721,2768309,2026-08-03,74
2891,中信金,金融,64.8,-0.15408085018490994,56,70.2,60.26,8.690484642982357,7,0.7075881193989257,40177596,2026-08-03,79
2535,達欣工,其他,89.4,1.3605494548269763,56,90.8,83.14,9.330625852551968,6,0.6941131602498231,542128,2026-08-03,78
6579,研揚,其他,163.0,5.844155844155844,56,186.5,151.59,12.600536193029491,5,1.6187704108823817,961280,2026-08-03,67
3017,奇鋐,AI/伺服器,2550.0,9.913793103448276,55,2670.0,2371.5,15.282392026578073,4,1.011803323848154,4508728,2026-08-03,96
2882,國泰金,金融,100.5,-0.9852216748768473,55,102.5,93.46,11.413374696128347,5,0.5904193207743584,25797742,2026-08-03,83
2527,宏璟,其他,45.05,1.1223344748882884,54,52.0,41.9,13.365386082575872,3,1.071372904475208,1385773,2026-08-03,87
2414,精技,電子,57.3,-1.206897867136988,54,64.16,53.29,10.68575090341836,7,0.7437339689459113,265920,2026-08-03,70
0055,元大MSCI金融,傳產,44.15,-1.2083175596862712,53,44.74,41.06,1.3187307341382055,4,0.6967325266499514,734454,2026-08-03,78
6206,飛捷,電子,133.5,6.800000000000001,53,137.5,124.16,4.188503341017608,1,1.7586529570696403,4599434,2026-08-03,50
2850,新產,金融,165.0,2.484472049689441,52,166.0,153.45,0.6024096385542169,4,0.9727747824972651,332284,2026-08-03,85
2890,永豐金,金融,40.05,-1.3546779747076167,51,41.05,37.25,2.4360536384546028,5,0.903198524542989,26533869,2026-08-03,84
6669,緯穎,AI/伺服器,5925.0,9.925788497217068,50,5925.0,5510.25,0.0,5,1.3023402982443832,3343479,2026-08-03,93
6414,樺漢,其他,437.5,8.024691358024691,50,522.0,406.88,16.187739463601535,1,2.1543989133901094,3125366,2026-08-03,76
5515,建國,其他,42.75,-0.3496538940410518,49,45.25,39.76,5.524861878453039,5,1.0326923945127002,318364,2026-08-03,86
3022,威強電,電子,92.0,8.235294117647058,49,95.7,85.56,3.866245628245183,6,1.2822773627723985,2310207,2026-08-03,48
5288,豐祥-KY,其他,189.5,3.551912568306011,47,200.0,176.24,6.188118811881188,5,0.9392999818770635,241384,2026-08-03,75
2301,光寶科,電子,229.5,9.808612440191387,45,232.0,213.44,12.404580152671755,7,0.6852939583440522,23295060,2026-08-03,90
1590,亞德客-KY,傳產,1415.0,6.7924528301886795,44,1455.0,1315.95,9.724941573528524,3,1.3242574298784893,877676,2026-08-03,90
3034,聯詠,半導體,519.0,0.0,44,531.0,482.67,10.561061596703302,9,0.8146861431816779,3439766,2026-08-03,40
2832,台產,金融,60.3,1.5151476230005432,39,60.4,56.08,0.16556669915896033,6,0.7405318753606117,235328,2026-08-03,81
1709,和益,傳產,22.95,-0.6493489872433058,39,28.6,21.34,19.75524315793707,8,1.17014366304722,1375283,2026-08-03,65
6024,群益期,其他,58.3,0.0,39,58.7,54.22,0.6814335957069514,5,1.2915459443032247,499133,2026-08-03,62
2451,創見,電子,281.0,-4.09556313993174,38,295.0,261.33,23.5687839673233,5,1.516852792913878,11538845,2026-08-03,97
6214,精誠,電子,148.5,-3.571428571428571,38,154.5,138.11,4.259261168916438,5,1.1216966879239716,3855698,2026-08-03,69
2388,威盛,電子,75.9,7.659576632452349,37,77.7,70.59,16.816375626115253,4,0.8312633431651784,6301676,2026-08-03,56
2618,長榮航,其他,43.7,0.9237910691151796,36,43.85,40.64,0.34207004880550823,8,0.7752030848434817,40208565,2026-08-03,49
2466,冠西電,電子,97.4,6.915480962985376,36,126.5,90.58,23.003951362941578,7,1.333885312801225,1435568,2026-08-03,32
2637,慧洋-KY,其他,83.0,6.002550146946225,35,88.0,77.19,5.681818181818182,7,0.558704424581836,2622853,2026-08-03,75
2816,旺旺保,金融,33.75,0.0,35,35.55,31.39,5.19662515004298,8,0.5205090832660693,171483,2026-08-03,66
3231,緯創,AI/伺服器,186.0,5.681818181818182,34,188.0,172.98,4.069250884966244,1,1.8333258055955737,162186040,2026-08-03,81
3605,宏致,電子,84.2,6.582274618028086,34,96.5,78.31,12.746117152080636,7,1.267928230831534,5545155,2026-08-03,71
2880,華南金,金融,43.05,-1.4874176533885815,33,45.15,40.04,4.651167702873029,3,0.7006218361629987,32002039,2026-08-03,77
6277,宏正,電子,77.4,-3.4912662455215355,33,85.0,71.98,8.941174675436582,7,1.1703075309185202,381533,2026-08-03,68
2332,友訊,電子,22.2,4.470591825597427,33,26.45,20.65,16.068052466580298,3,2.2421441747496607,48636255,2026-08-03,59
