股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
2408,南亞科,電子,489.0,-2.589641434262948,99,502.0,454.77,2.8571019785234473,5,0.9042032614275288,113445685,2026-08-11,100
2344,華邦電,電子,178.0,-0.8356545961002786,99,181.0,165.54,23.768736616702355,4,0.8059527642475033,194329494,2026-08-11,99
3189,景碩,電子,842.0,0.7177033492822966,99,859.0,783.06,10.17663171224077,4,0.8327447347551438,2947931,2026-08-11,99
3037,欣興,電子,992.0,0.0,99,1010.0,922.56,12.032631843551128,7,1.0145875211171307,5158006,2026-08-11,98
8046,南電,其他,1150.0,1.7699115044247788,99,1415.0,1069.5,18.727915194346288,8,0.5506414271228035,2574208,2026-08-11,98
2383,台光電,電子,5535.0,4.631379962192817,99,5535.0,5147.55,11.44,5,1.2649868739711736,2812568,2026-08-11,97
1303,南亞,傳產,190.0,2.7027027027027026,99,230.0,176.7,17.391304347826086,6,1.1517459697997834,102525921,2026-08-11,96
3711,日月光投控,電子,629.0,-0.15873015873015872,99,696.0,584.97,12.92876909528905,7,0.9899001889936581,19131951,2026-08-11,95
6213,聯茂,電子,452.0,5.730994152046784,99,452.0,420.36,0.0,6,1.016625568539259,16699073,2026-08-11,95
2059,川湖,傳產,12315.0,3.4439311213775725,99,12540.0,11452.95,1.7942583732057416,4,1.0023895990181564,458679,2026-08-11,94
6446,藥華藥,其他,1460.0,9.774436090225564,99,1460.0,1357.8,0.0,4,1.1704160116304843,5595625,2026-08-11,92
3229,晟鈦,電子,51.0,0.19646065053701792,99,51.9,47.43,6.250002629616608,2,1.611050632185657,1494841,2026-08-11,91
6672,騰輝電子-KY,其他,257.0,2.1868787276341948,99,273.0,239.01,22.12121212121212,6,0.7399245149835634,6953508,2026-08-11,90
2454,聯發科,半導體,4020.0,1.5151515151515151,99,4125.0,3738.6,18.63140404528035,5,0.9264022968568445,7639731,2026-08-11,89
2464,盟立,電子,187.5,4.166666666666666,99,196.0,174.38,9.200968523002421,3,1.1810511587628558,26630507,2026-08-11,89
2302,麗正,電子,46.05,8.352939381318935,99,48.5,42.83,20.740102501771766,5,0.608944304079351,8351310,2026-08-11,88
6166,凌華,電子,136.0,-4.895104895104895,99,174.0,126.48,21.839080459770116,4,1.6414560424118607,2849969,2026-08-11,82
