股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
2408,南亞科,電子,518.0,0.0,99,569.0,481.74,8.963093145869948,8,0.938312567906724,52726668,2026-09-02,100
3189,景碩,電子,847.0,-3.0892448512585813,99,960.0,787.71,11.770833333333334,4,1.2874964508877513,14863127,2026-09-02,99
3037,欣興,電子,973.0,0.20597322348094746,99,1230.0,904.89,20.89430894308943,4,0.9758626468900904,25975493,2026-09-02,98
8039,台虹,其他,313.5,-1.7241379310344827,99,364.0,291.56,13.873626373626374,2,1.6001129218054622,22863962,2026-09-02,98
8046,南電,其他,1200.0,-2.0408163265306123,99,1380.0,1116.0,15.19434628975265,5,0.8332212122106212,7716435,2026-09-02,98
1303,南亞,傳產,237.5,1.279317697228145,99,250.0,220.88,5.0,4,1.230273522687255,127640256,2026-09-02,97
2426,鼎元,電子,104.5,-2.7906976744186047,99,111.0,97.18,5.8558558558558556,2,2.6161120227369628,78319226,2026-09-02,97
2383,台光電,電子,5445.0,-3.4574468085106385,99,6440.59,5063.85,15.458067186901022,8,0.9673080145661777,1484135,2026-09-02,96
6226,光鼎,電子,34.15,0.4411809584673713,99,36.6,31.76,6.693981011978775,6,1.5678762940557984,6845435,2026-09-02,96
2059,川湖,傳產,13865.0,-2.0141342756183747,99,15031.98,12894.45,7.7633097481390845,6,0.9405675754563486,437579,2026-09-02,95
6141,柏承,電子,54.8,-5.517242694723195,99,59.9,50.96,8.514193921372403,2,1.9417154676349881,4637344,2026-09-02,94
6213,聯茂,電子,536.0,-2.5454545454545454,99,599.0,498.48,10.51752921535893,6,1.0652503808512517,12505718,2026-09-02,94
2491,吉祥全,電子,50.0,9.289617486338798,99,56.4,46.5,11.347520128952997,2,2.887355769617118,8044702,2026-09-02,92
3008,大立光,電子,7810.0,3.034300791556728,99,7995.0,7263.3,2.313946216385241,5,1.1820317609757405,2286763,2026-09-02,90
2454,聯發科,半導體,4275.0,-0.9269988412514484,99,4565.0,3975.75,13.469963257107834,7,0.8752429172254496,23516532,2026-09-02,89
