股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
2408,南亞科,電子,477.5,-7.818532818532818,99,569.0,444.08,16.080843585237258,8,0.9780825590751561,123243986,2026-09-03,100
1303,南亞,傳產,221.0,-6.947368421052631,99,250.0,205.53,11.600000000000001,5,1.251806473014512,103707011,2026-09-03,99
8039,台虹,其他,293.0,-6.539074960127592,99,364.0,272.49,19.505494505494507,2,1.5460352053631354,39185704,2026-09-03,99
2426,鼎元,電子,95.0,-9.090909090909092,99,111.0,88.35,14.414414414414415,1,2.6435389665994466,52115790,2026-09-03,98
2059,川湖,傳產,13450.0,-2.993148214929679,99,15031.98,12508.5,10.524090595922877,5,0.9560530284719481,647702,2026-09-03,96
6213,聯茂,電子,512.0,-4.477611940298507,99,599.0,476.16,14.524207011686144,5,1.1273610741140332,12921588,2026-09-03,96
6226,光鼎,電子,32.0,-6.295758213215988,99,36.6,29.76,12.56830236584199,6,1.4692427864416513,5271791,2026-09-03,96
6141,柏承,電子,51.7,-5.656931600876016,99,59.9,48.08,13.68948339575044,1,1.9426112250473753,4470612,2026-09-03,95
2454,聯發科,半導體,4340.0,1.5204678362573099,99,4565.0,4036.2,12.154301879730527,7,0.8352243406352787,9299793,2026-09-03,91
6446,藥華藥,其他,1350.0,3.4482758620689653,99,1645.0,1255.5,17.933130699088146,5,1.2150590726047479,3183891,2026-09-03,91
3008,大立光,電子,7150.0,-8.450704225352112,99,7995.0,6649.5,10.569105691056912,5,1.1446279817427607,1680753,2026-09-03,90
2464,盟立,電子,222.0,9.900990099009901,99,222.0,206.46,0.0,6,1.1121860928722949,16806280,2026-09-03,89
6672,騰輝電子-KY,其他,263.0,-3.308823529411765,99,295.0,244.59,20.303030303030305,6,0.7448097786273009,1876357,2026-09-03,83
2395,研華,電子,674.0,-2.601156069364162,99,715.0,626.82,5.734265734265734,6,0.7039298561910966,2951637,2026-09-03,77
2383,台光電,電子,5290.0,-2.846648301193756,98,6440.59,4919.7,17.86467868112147,8,0.9199776319659613,1620155,2026-09-03,97
2491,吉祥全,電子,45.0,-10.0,96,56.4,41.85,20.212768116057696,1,3.0325883196372203,5327985,2026-09-03,89
2883,凱基金,金融,35.9,1.126764861630722,88,36.75,33.39,2.312921018016582,5,0.9593828202793456,60474596,2026-09-03,84
2887,台新新光金,金融,41.45,0.6067961052682357,87,42.65,38.55,2.813600750310229,5,0.983772433427866,78210119,2026-09-03,87
2351,順德,電子,223.0,-2.6200873362445414,84,247.0,207.39,9.7165991902834,3,1.309283500948216,3690877,2026-09-03,85
1709,和益,傳產,33.45,-4.42856924874442,80,36.75,31.11,8.97958976070897,2,2.1020454388576257,11938616,2026-09-03,78
6225,天瀚,電子,60.4,4.137933665308459,79,78.2,56.17,22.762143372133977,8,1.53921900320547,59445,2026-09-03,94
3443,創意,半導體,5800.0,-1.6115351993214586,77,6490.0,5394.0,10.631741140215716,3,0.9932005483964977,1598089,2026-09-03,97
7788,松川精密,其他,315.0,-0.31645569620253167,77,347.0,292.95,9.221902017291066,4,1.3888036884353625,3663393,2026-09-03,82
2455,全新,電子,525.0,-3.136531365313653,75,555.0,488.25,5.405405405405405,3,1.5347179394783654,21413236,2026-09-03,92
3229,晟鈦,電子,48.6,-5.078129394678334,75,62.5,45.2,22.24000244140625,4,2.171582157324144,897577,2026-09-03,92
2885,元大金,金融,68.5,2.6986553734846157,74,69.4,63.71,1.2968321413412365,8,0.7801919286673912,35773976,2026-09-03,82
3450,聯鈞,電子,554.0,-7.973421926910299,73,653.0,515.22,15.160796324655438,2,1.5699151638440147,2669571,2026-09-03,88
2409,友達,電子,26.55,0.5681803814307181,73,28.85,24.69,21.605886145048967,7,0.5327998705800513,440419352,2026-09-03,81
1326,台化,傳產,69.7,-4.2582499636870175,70,78.2,64.82,10.869565641576493,5,0.9345297210864918,82328716,2026-09-03,85
3006,晶豪科,電子,277.0,-1.5985790408525755,69,309.5,257.61,10.500807754442649,4,1.4571012521965074,41899416,2026-09-03,98
5434,崇越,其他,527.0,-1.4953271028037385,68,567.0,490.11,12.458471760797343,7,0.392976450608807,706813,2026-09-03,75
2855,統一證,金融,50.6,2.0161290942816303,67,50.8,47.06,11.80597171999178,7,0.7867800936741386,6824527,2026-09-03,86
2881,富邦金,金融,147.0,2.4390243902439024,66,148.5,136.71,1.0101010101010102,5,1.0153186205562919,18699488,2026-09-03,73
2357,華碩,電子,971.0,-3.8613861386138613,66,1025.0,903.03,5.2682926829268295,7,0.6569677333907742,3179354,2026-09-03,65
1560,中砂,傳產,711.0,0.9943181818181818,65,749.0,661.23,9.396541880037656,7,0.6657954254960066,1271880,2026-09-03,79
2467,志聖,電子,595.0,-2.2988505747126435,64,643.0,553.35,13.201285714852773,4,0.7323518407488484,1090764,2026-09-03,90
2851,中再保,金融,47.3,2.491869280950667,64,48.5,43.99,2.4742283771947484,4,1.964641654849835,3792084,2026-09-03,79
3094,聯傑,電子,42.3,2.6698991595907273,63,43.8,39.34,8.342366547180818,7,1.3470126751468159,9303712,2026-09-03,69
3017,奇鋐,AI/伺服器,3300.0,-0.3021148036253776,62,3525.0,3069.0,6.382978723404255,6,0.8930666843769571,4385095,2026-09-03,94
2103,台橡,傳產,27.95,-1.2367437581508827,62,29.45,25.99,5.093378475859443,9,0.6428367772985165,4431139,2026-09-03,68
3605,宏致,電子,114.5,-9.84251968503937,62,141.0,106.48,18.79432624113475,5,1.3287788915569996,13659816,2026-09-03,63
2377,微星,電子,150.5,-2.903225806451613,62,168.53,139.96,10.696243399224445,8,0.5292422062478033,13626926,2026-09-03,39
2890,永豐金,金融,42.6,1.067608379482269,61,43.15,39.62,1.274630434086896,6,0.6886113953640403,25952066,2026-09-03,74
5471,松翰,其他,59.9,-1.8032761870837601,60,63.3,55.71,12.233830372765288,6,0.8867006136031836,1945609,2026-09-03,66
2301,光寶科,電子,299.0,-5.079365079365079,59,328.0,278.07,8.841463414634147,4,1.3801769209852401,38204460,2026-09-03,86
2486,一詮,電子,259.5,-9.895833333333332,58,307.5,241.34,18.24585557838455,3,1.3102334169605323,34925397,2026-09-03,92
2882,國泰金,金融,112.5,3.211009174311927,58,115.0,104.62,2.1739130434782608,4,0.9593026999000803,35797886,2026-09-03,74
0056,元大高股息,傳產,54.5,-0.6381011556203184,58,55.8,50.68,2.3297477685217056,7,0.5264617841740138,26360117,2026-09-03,70
5515,建國,其他,52.9,0.3795080835750213,57,56.4,49.2,6.20567359097329,7,0.838458041969379,316580,2026-09-03,85
2527,宏璟,其他,43.2,0.5820721666103418,57,47.3,40.18,14.018287339383653,9,0.44784633356492215,588147,2026-09-03,75
6214,精誠,電子,183.0,0.0,57,184.5,170.19,0.8130081300813009,6,0.690782589048103,2150804,2026-09-03,64
1727,中華化,傳產,89.2,-5.307855798283337,56,106.0,82.96,20.22115425340946,2,1.3785773928708223,3445944,2026-09-03,83
0057,富邦摩台,傳產,317.75,-1.5186716222460048,56,323.15,295.51,3.8577912254160367,8,0.8481050262944985,7813,2026-09-03,78
0055,元大MSCI金融,傳產,48.2,3.433481418903708,56,48.8,44.83,1.229505089142363,5,1.0486078789560844,1557365,2026-09-03,67
0053,元大電子,傳產,239.7,-2.699415056023632,55,247.15,222.92,5.815325364148452,6,1.4811769257647889,62566,2026-09-03,80
0050,元大台灣50,傳產,106.2,-2.0746888550617606,55,108.7,98.77,4.856421877386748,7,0.5111162794342502,48518745,2026-09-03,78
2850,新產,金融,159.0,-1.2422360248447204,52,169.0,147.87,5.9171597633136095,7,0.7066041524031098,319718,2026-09-03,54
6669,緯穎,AI/伺服器,2475.0,-5.172413793103448,51,2875.0,2301.75,13.91304347826087,5,1.001480246549083,5063825,2026-09-03,88
8271,宇瞻,其他,217.0,-3.7694013303769403,50,246.0,201.81,18.051948246730998,8,0.7566180943198502,3179473,2026-09-03,93
3406,玉晶光,電子,991.0,-5.6190476190476195,49,1090.0,921.63,9.08256880733945,4,2.065466669367544,2410249,2026-09-03,82
1301,台塑,傳產,65.7,-1.6467156485955863,49,71.2,61.1,7.72471943221872,4,0.8418564886823162,52275233,2026-09-03,71
2891,中信金,金融,67.5,1.3513536734218121,49,68.0,62.78,4.885925982506597,3,0.7667637178313654,37220403,2026-09-03,67
0051,元大中型100,傳產,144.0,-2.339774174056581,48,147.75,133.92,5.294312982695299,6,0.541577568555261,60508,2026-09-03,72
2465,麗臺,電子,96.2,-8.380955287388394,48,107.5,89.47,10.511630745821222,4,1.4943487932921253,12270408,2026-09-03,61
2880,華南金,金融,43.45,1.0465134021847746,48,43.75,40.41,0.6857125418526786,8,0.8315401715098863,16223291,2026-09-03,61
5288,豐祥-KY,其他,187.0,-2.3498694516971277,48,200.0,173.91,6.5,8,0.4639801600144152,155362,2026-09-03,60
3034,聯詠,半導體,527.0,-2.9465930018416207,48,567.0,490.11,9.1824267080205,7,0.8111588325243175,2609506,2026-09-03,44
2030,彰源,傳產,23.4,3.539819573261977,47,23.8,21.76,1.6806707199696365,4,1.535790749976154,2656625,2026-09-03,70
3023,信邦,電子,325.0,-1.5151515151515151,47,341.5,302.25,5.077248087028357,5,0.5250453077528962,2126111,2026-09-03,60
6278,台表科,電子,191.5,-4.010025062656641,46,210.0,178.1,22.600804335189252,5,1.3253141665937835,3344272,2026-09-03,75
1904,正隆,傳產,25.1,2.2403305967476403,46,26.45,23.34,5.103971049260936,7,0.9351954326101994,2544534,2026-09-03,57
6426,統新,其他,265.5,3.3073929961089497,45,285.0,246.92,9.526337822598634,4,2.0561573817046757,3540760,2026-09-03,93
4576,大銀微系統,其他,231.0,-4.545454545454546,45,252.0,214.83,20.332755534186656,7,1.3784931754936738,8999765,2026-09-03,76
2376,技嘉,AI/伺服器,350.5,-3.0428769017980635,45,402.0,325.97,12.810945273631841,8,0.6559379131609944,8165640,2026-09-03,51
6024,群益期,其他,63.0,0.15898008218640733,44,63.8,58.59,1.2539173144626596,8,0.6162836325385606,166175,2026-09-03,56
6206,飛捷,電子,134.5,-2.536231884057971,43,159.0,125.08,15.40880503144654,9,0.5239675901585635,917713,2026-09-03,43
6505,台塑化,其他,76.5,-2.795421897778518,42,80.5,71.15,21.8590410544805,4,0.634891151395478,27507472,2026-09-03,77
2637,慧洋-KY,其他,99.8,3.6344754819154836,42,108.0,92.81,7.592589766890915,5,2.4299019767228844,7529386,2026-09-03,73
2618,長榮航,其他,42.8,1.5421060205242472,42,44.6,39.8,4.035872866912735,8,0.5287014207740639,26397109,2026-09-03,28
3653,健策,電子,5615.0,-2.68630849220104,41,6095.0,5221.95,7.875307629204266,6,0.9855451771012257,896776,2026-09-03,87
2049,上銀,傳產,344.5,-2.130681818181818,41,404.5,320.38,18.65923204673246,7,0.7706377044002595,3371437,2026-09-03,69
2356,英業達,電子,65.0,-2.4024001663345516,41,73.5,60.45,24.258497125299748,9,0.4673727026809509,16001253,2026-09-03,66
2027,大成鋼,傳產,50.2,1.311809355978239,41,52.3,46.69,4.015293508136429,7,0.6631823409380248,11038449,2026-09-03,53
2892,第一金,金融,36.85,1.6551682044719827,41,37.1,34.27,0.6738544751541867,5,0.9853585333797017,38550023,2026-09-03,49
2886,兆豐金,金融,50.4,2.8571459711814415,41,50.8,46.87,2.6469423585264593,6,0.8901788203909471,37779232,2026-09-03,45
