股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
7610,聯友金屬-創,其他,2415.0,-3.592814371257485,99,2545.0,2245.95,5.1080550098231825,5,0.8362612429607152,894598,2026-06-23,100
2344,華邦電,電子,211.5,-4.72972972972973,99,233.5,196.7,9.421841541755889,7,1.1555734741205799,262773751,2026-06-23,99
3026,禾伸堂,電子,808.0,-9.92196209587514,99,909.12,751.44,11.122490261699353,2,0.8568248012242736,2746025,2026-06-23,99
8021,尖點,其他,567.0,-2.4096385542168677,99,627.0,527.31,9.569377990430622,4,1.5662846198089733,1442878,2026-06-23,99
2327,國巨*,電子,1020.0,-4.225352112676056,99,1120.0,948.6,8.928571428571429,4,1.3443349442329768,46188063,2026-06-23,98
3037,欣興,電子,974.0,-3.084577114427861,99,1130.0,905.82,13.805309734513274,5,0.9409994658827557,26547043,2026-06-23,98
3189,景碩,電子,727.0,-8.668341708542714,99,796.0,676.11,8.668341708542714,2,0.844149641660043,36546151,2026-06-23,98
4764,雙鍵,其他,346.5,4.367469879518072,99,366.5,322.24,5.457025920873124,4,1.2655948365447858,5355805,2026-06-23,97
6831,邁科,其他,830.0,1.591187270501836,99,850.0,771.9,2.3529411764705883,5,0.7321936030735234,1529407,2026-06-23,97
8046,南電,其他,909.0,5.208333333333334,99,966.0,845.37,12.173913043478262,3,1.0018253024250343,34913279,2026-06-23,97
2337,旺宏,電子,172.0,-7.277628032345014,99,192.0,159.96,10.416666666666668,5,0.48916455051085755,206696008,2026-06-23,96
2408,南亞科,電子,454.5,-10.0,99,505.0,422.68,10.0,8,0.9237295623604168,163844551,2026-06-23,96
2492,華新科,電子,577.0,-6.482982171799027,99,645.0,536.61,10.542635658914728,5,1.0463604633464918,38967260,2026-06-23,96
2360,致茂,電子,2265.0,-1.948051948051948,99,2771.56,2106.45,18.27701134631124,5,0.6726445633151981,1395749,2026-06-23,95
2383,台光電,電子,5700.0,-2.1459227467811157,99,6045.0,5301.0,5.707196029776675,4,0.8790501378900426,2132773,2026-06-23,95
3167,大量,電子,780.0,-3.1055900621118013,99,1015.0,725.4,23.15270935960591,5,1.417626348524362,503888,2026-06-23,95
2426,鼎元,電子,94.7,5.3392606684011445,99,98.8,88.07,4.149803620317479,3,1.4402362542893268,46395092,2026-06-23,94
