股票代號,股票名稱,產業,收盤價,今日漲跌%,VCP強度,Pivot進場價,建議停損,距高點%,縮量次數,量比,成交量(股),更新日期,RS分數
2408,南亞科,電子,541.0,4.642166344294004,99,555.0,503.13,2.5225225225225225,5,0.840390453352961,83466006,2026-08-27,100
3189,景碩,電子,914.0,3.745743473325766,99,960.0,850.02,4.791666666666667,5,1.1933974274385788,31201349,2026-08-27,99
3037,欣興,電子,1180.0,1.7241379310344827,99,1205.0,1097.4,2.0746887966804977,5,0.8970203605326058,23380572,2026-08-27,98
8039,台虹,其他,352.5,9.98439937597504,99,352.5,327.83,0.0,3,1.7819803697576926,22406765,2026-08-27,98
8046,南電,其他,1295.0,9.745762711864407,99,1380.0,1204.35,8.480565371024735,6,0.8306235548244213,7448331,2026-08-27,98
1303,南亞,傳產,227.5,9.903381642512077,99,227.5,211.58,1.0869565217391304,5,1.062233785419025,144669947,2026-08-27,97
2426,鼎元,電子,96.6,-3.2064173144134545,99,102.0,89.84,5.294119143018536,3,1.9342486654969961,96370522,2026-08-27,97
2059,川湖,傳產,14340.0,-0.8230168061415035,99,15031.98,13336.2,4.603379862121491,8,0.9851845212277737,343325,2026-08-27,96
6213,聯茂,電子,563.0,-3.430531732418525,99,599.0,523.59,6.010016694490818,7,0.7612105263646133,35484598,2026-08-27,96
2383,台光電,電子,5475.0,-6.7005944292446635,99,6440.59,5091.75,14.992271413826098,6,1.0626642927006689,3081616,2026-08-27,95
6141,柏承,電子,54.9,8.928571158255586,99,55.4,51.06,0.9025270509540254,4,2.069872029804302,7769837,2026-08-27,94
6226,光鼎,電子,30.95,9.946718232159498,99,30.95,28.78,0.0,5,1.6861725518506354,27025281,2026-08-27,94
6446,藥華藥,其他,1560.0,-1.5772870662460567,99,1640.0,1450.8,4.878048780487805,4,1.072191602954808,3794313,2026-08-27,93
2491,吉祥全,電子,51.3,9.967840426761985,99,51.3,47.71,0.0,3,2.3558304141252893,5037313,2026-08-27,92
2484,希華,電子,76.6,-0.13037611225535456,99,81.0,71.24,24.20844160225217,6,0.5593046232128966,20345086,2026-08-27,91
2464,盟立,電子,211.0,9.895833333333332,99,211.0,196.23,0.0,4,1.0360464353768724,12833516,2026-08-27,89
